occurrence_id,source_type,ADM0_NAME,ISO_code,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,Location_name,lat,long,Geo_reliability,max_year,N_positive,higher_taxon,lower_taxon,Sample_type,PCR_Test,ER_result,KR_result,IS2404_result,16SrRNAresults,16S_23S ITS,IS2606_result,VNTR_MIRU_result_MU,VNTR_result_MPM,qPCR_confirmed,other tests,other results,MU_confirmed,Record_number
BU_env_AU_109,LIT,Australia,AUS,Victoria,AUS.10_1,Greater Geelong,AUS.10.27_1,Point Lonsdale,,,,2007,768,na,mosquito,terrestrial invertebrate,IS2404,,,positive,,,,,positive,,,,no,7356
BU_env_AU_110,LIT,Australia,AUS,Victoria,AUS.10_1,Mildura,AUS.10.46_1,Mildura,-34.202144,142.14939,3,2007,0,na,mosquito,terrestrial invertebrate,IS2404,,,positive,,,,,,,,,no,7356
BU_env_AU_111,LIT,Australia,AUS,Victoria,AUS.10_1,Swan Hill,AUS.10.67_1,Swan Hill,-35.33824,143.55432,3,2007,0,na,mosquito,terrestrial invertebrate,IS2404,,,positive,,,,,,,,,no,7356
BU_env_AU_112,LIT,Australia,AUS,Victoria,AUS.10_1,Greater Shepparton,AUS.10.28_1,Shepparton,-36.383325,145.402904,3,2007,0,na,mosquito,terrestrial invertebrate,IS2404,,,positive,,,,,,,,,no,7356
BU_env_AU_123,LIT,Australia,AUS,Victoria,AUS.10_1,East Gippsland,AUS.10.19_1,Raymond Island,-37.91486,147.734114,3,1985,8,,koala,terrestrial vertebrate- clinical ,none,,,,,,,,,,,Clinical diagnosis,no,7796
BU_env_AU_124,LIT,Australia,AUS,Victoria,AUS.10_1,East Gippsland,AUS.10.19_1,Raymond Island,-37.91486,147.734114,3,1985,2,,koala,terrestrial vertebrate- clinical ,none,,,,,,,,,,zn + culture,"1 positive on ZN, 1 positive on ZN and culture",yes,7806
BU_env_AU_124,LIT,Australia,AUS,Victoria,AUS.10_1,East Gippsland,AUS.10.19_1,Raymond Island,-37.91486,147.734114,3,1980,0,,rattus rattus,terrestrial vertebrate- clinical ,none,,,,,,,,,,zn + culture ,zn + culture - ,no,7806
BU_env_AU_131,LIT,Australia,AUS,Victoria,AUS.10_1,,,Phillip Island,-38.48349,145.23102,4,2000,2,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_132,LIT,Australia,AUS,Victoria,AUS.10_1,,,Phillip Island,-38.48349,145.23102,4,1998,1,possum,ringtail,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_132,LIT,Australia,AUS,Victoria,AUS.10_1,,,Phillip Island,-38.48349,145.23102,4,2001,2,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_133,LIT,Australia,AUS,Victoria,AUS.10_1,,,Phillip Island,-38.48349,145.23102,4,2002,2,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_133,LIT,Australia,AUS,Victoria,AUS.10_1,,,Phillip Island,-38.48349,145.23102,4,2005,1,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_134,LIT,Australia,AUS,Victoria,AUS.10_1,,,Phillip Island,-38.48349,145.23102,4,2003,2,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_134,LIT,Australia,AUS,Victoria,AUS.10_1,,,Phillip Island,-38.48349,145.23102,4,2007,1,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_135,LIT,Australia,AUS,Victoria,AUS.10_1,,,Point Lonsdale,-38.2725073,144.6136725,4,2008,5,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_135,LIT,Australia,AUS,Victoria,AUS.10_1,,,Phillip Island,-38.48349,145.23102,4,2009,1,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
